HEADWORD	IPA	SOUND_CLASSES
spastisch	ʃ p a s t ɪ ʃ	S P V S T V S
spaten	ʃ p a t ə n	S P V T V N
spät	ʃ p æ t	S P V T
Spat	ʃ p a t	S P V T
spätabends	ʃ p æ t a b ə n ts	S P V T V P V N K
Spätantike	ʃ p æ t a n t i k ə	S P V T V N T V K V
Spätaufsteher	ʃ p æ t au f ʃ t e ə r	S P V T V P S T V V R
Späte	ʃ p æ t ə	S P V T V
Spatel	ʃ p a t ə l	S P V T V R
Spaten	ʃ p a t ə n	S P V T V N
Spatenforschung	ʃ p a t ə n f ɔ r ʃ ʊ ŋ	S P V T V N P V R S V N
Spatenstich	ʃ p a t ə n ʃ t ɪ x	S P V T V N S T V K
später	ʃ p æ t ə r	S P V T V R
späterhin	ʃ p æ t ə r h ɪ n	S P V T V R H V N
spätestens	ʃ p æ t ə s t ə n s	S P V T V S T V N S
Spätgeburt	ʃ p æ t g ə b u r t	S P V T K V P V R T
Spätgotik	ʃ p æ t g o t ɪ k	S P V T K V T V K
spathaltig	ʃ p a t h a l t ɪ x	S P V T H V R T V K
Spätherbst	ʃ p æ t h ɛ r p s t	S P V T H V R P S T
spätherbstlich	ʃ p æ t h ɛ r p s t l ɪ x	S P V T H V R P S T R V K
Spatium	ʃ p a t i ʊ m	S P V T V V M
Spätlatein	ʃ p æ t l a t ai n	S P V T R V T V N
Spätling	ʃ p æ t l ɪ ŋ	S P V T R V N
spätnachmittags	ʃ p æ t n a x m ɪ t a k s	S P V T N V K M V T V K S
Spätromantik	ʃ p æ t r o m a n t ɪ k	S P V T R V M V N T V K
Spätschicht	ʃ p æ t ʃ ɪ x t	S P V T S V K T
Spätsommer	ʃ p æ t z ɔ m ə r	S P V T S V M V R
Spatz	ʃ p a ts	S P V K
Spätzchen	ʃ p ɛ ts x ə n	S P V K K V N
Spätzlein	ʃ p ɛ ts l ai n	S P V K R V N
Spätzündung	ʃ p æ t ts ʏ n d ʊ ŋ	S P V T K V N T V N
spazieren	ʃ p a ts i r ə n	S P V K V R V N
spazierenfahren	ʃ p a ts i r ə n f a r ə n	S P V K V R V N P V R V N
spazierenführen	ʃ p a ts i r ə n f y r ə n	S P V K V R V N P V R V N
spazierengehen	ʃ p a ts i r ə n g e ə n	S P V K V R V N K V V N
spazierenreiten	ʃ p a ts i r ə n r ai t ə n	S P V K V R V N R V T V N
Spazierfahrt	ʃ p a ts i r f a r t	S P V K V R P V R T
Spaziergang	ʃ p a ts i r g a ŋ	S P V K V R K V N
Spaziergänger	ʃ p a ts i r g ɛ ŋ ə r	S P V K V R K V N V R
Spazierritt	ʃ p a ts i r r ɪ t	S P V K V R R V T
Spazierstock	ʃ p a ts i r ʃ t ɔ k	S P V K V R S T V K
Spazierweg	ʃ p a ts i r v e k	S P V K V R W V K
Specht	ʃ p ɛ x t	S P V K T
Spechtmeise	ʃ p ɛ x t m ai z ə	S P V K T M V S V
Speck	ʃ p ɛ k	S P V K
speckig	ʃ p ɛ k ɪ x	S P V K V K
Speckschwarte	ʃ p ɛ k ʃ v a r t ə	S P V K S W V R T V
Speckseite	ʃ p ɛ k z ai t ə	S P V K S V T V
Speckstein	ʃ p ɛ k ʃ t ai n	S P V K S T V N
spedieren	ʃ p e d i r ə n	S P V T V R V N
Spediteur	ʃ p e d i t ɶː r	S P V T V T V R
Spedition	ʃ p e d i ts i o n	S P V T V K V V N
Speditionsfirma	ʃ p e d i ts i o n s f ɪ r m a	S P V T V K V V N S P V R M V
Speditionsgeschäft	ʃ p e d i ts i o n s g ə ʃ ɛ f t	S P V T V K V V N S K V S V P T
speditiv	ʃ p e d i t i f	S P V T V T V P
Speer	ʃ p e r	S P V R
Speerlänge	ʃ p e r l ɛ ŋ ə	S P V R R V N V
Speerwerfen	ʃ p e r v ɛ r f ə n	S P V R W V R P V N
speien	ʃ p ai ə n	S P V V N
Speiche	ʃ p ai x ə	S P V K V
speicheln	ʃ p ai x ə l n	S P V K V R N
Speichel	ʃ p ai x ə l	S P V K V R
Speicheldrüse	ʃ p ai x ə l d r y z ə	S P V K V R T R V S V
Speichelfluss	ʃ p ai x ə l f l ʊ s	S P V K V R P R V S
speichern	ʃ p ai x ə r n	S P V K V R N
Speicher	ʃ p ai x ə r	S P V K V R
Speicherofen	ʃ p ai x ə r o f ə n	S P V K V R V P V N
Speicherung	ʃ p ai x ə r ʊ ŋ	S P V K V R V N
speisen	ʃ p ai z ə n	S P V S V N
Speise	ʃ p ai z ə	S P V S V
Speisebrei	ʃ p ai z ə b r ai	S P V S V P R V
Speiseeis	ʃ p ai z ə ai s	S P V S V V S
Speisekammer	ʃ p ai z ə k a m ə r	S P V S V K V M V R
Speisekarte	ʃ p ai z ə k a r t ə	S P V S V K V R T V
Speisenaufzug	ʃ p ai z ə n au f ts u k	S P V S V N V P K V K
Speisenfolge	ʃ p ai z ə n f ɔ l g ə	S P V S V N P V R K V
Speisenkarte	ʃ p ai z ə n k a r t ə	S P V S V N K V R T V
Speiseöl	ʃ p ai z ə ɶː l	S P V S V V R
Speiserest	ʃ p ai z ə r ɛ s t	S P V S V R V S T
Speiseröhre	ʃ p ai z ə r ɶː r ə	S P V S V R V R V
Speisesaal	ʃ p ai z ə z a l	S P V S V S V R
Speiseschrank	ʃ p ai z ə ʃ r a ŋ k	S P V S V S R V N K
Speisewagen	ʃ p ai z ə v a g ə n	S P V S V W V K V N
Speisewürze	ʃ p ai z ə v ʏ r ts ə	S P V S V W V R K V
Speisezettel	ʃ p ai z ə ts ɛ t ə l	S P V S V K V T V R
Speisezimmer	ʃ p ai z ə ts ɪ m ə r	S P V S V K V M V R
Speiskobalt	ʃ p ai s k o b a l t	S P V S K V P V R T
Speisung	ʃ p ai z ʊ ŋ	S P V S V N
speiübel	ʃ p ai y b ə l	S P V V P V R
Spektabilität	ʃ p ɛ k t a b i l i t æ t	S P V K T V P V R V T V T
spektakeln	ʃ p ɛ k t a k ə l n	S P V K T V K V R N
Spektakel	ʃ p ɛ k t a k ə l	S P V K T V K V R
Spektakel	ʃ p ɛ k t a k ə l	S P V K T V K V R
Spektakelmacher	ʃ p ɛ k t a k ə l m a x ə r	S P V K T V K V R M V K V R
spektakulär	ʃ p ɛ k t a k ʊ l æ r	S P V K T V K V R V R
spektral	ʃ p ɛ k t r a l	S P V K T R V R
Spektralanalyse	ʃ p ɛ k t r a l a n a l y z ə	S P V K T R V R V N V R V S V
Spektralapparat	ʃ p ɛ k t r a l a p a r a t	S P V K T R V R V P V R V T
Spektralfarbe	ʃ p ɛ k t r a l f a r b ə	S P V K T R V R P V R P V
Spektralklasse	ʃ p ɛ k t r a l k l a s ə	S P V K T R V R K R V S V
Spektrallinie	ʃ p ɛ k t r a l l i n i ə	S P V K T R V R R V N V V
Spektrometer	ʃ p ɛ k t r o m e t ə r	S P V K T R V M V T V R
Spektroskop	ʃ p ɛ k t r o s k o p	S P V K T R V S K V P
Spektroskopie	ʃ p ɛ k t r o s k o p i	S P V K T R V S K V P V
spektroskopisch	ʃ p ɛ k t r o s k o p ɪ ʃ	S P V K T R V S K V P V S
Spektrum	ʃ p ɛ k t r ʊ m	S P V K T R V M
Spekulant	ʃ p e k u l a n t	S P V K V R V N T
Spekulation	ʃ p e k u l a ts i o n	S P V K V R V K V V N
Spekulationsgeschäft	ʃ p e k u l a ts i o n s g ə ʃ ɛ f t	S P V K V R V K V V N S K V S V P T
Spekulationskauf	ʃ p e k u l a ts i o n s k au f	S P V K V R V K V V N S K V P
Spekulationspapier	ʃ p e k u l a ts i o n s p a p i r	S P V K V R V K V V N S P V P V R
Spekulationssteür	ʃ p e k u l a ts i o n s ʃ t χ ə r	S P V K V R V K V V N S S T K V R
Spekulationswert	ʃ p e k u l a ts i o n s v e r t	S P V K V R V K V V N S W V R T
Spekulatius	ʃ p e k u l a t i ʊ s	S P V K V R V T V V S
spekulativ	ʃ p e k u l a t i f	S P V K V R V T V P
spekulieren	ʃ p e k u l i r ə n	S P V K V R V R V N
Spekulum	ʃ p e k u l ʊ m	S P V K V R V M
Spelunke	ʃ p e l ʊ ŋ k ə	S P V R V N K V
Spelze	ʃ p ɛ l ts ə	S P V R K V
spelzig	ʃ p ɛ l ts ɪ x	S P V R K V K
spenden	ʃ p ɛ n d ə n	S P V N T V N
spendabel	ʃ p ɛ n d a b ə l	S P V N T V P V R
Spende	ʃ p ɛ n d ə	S P V N T V
Spender	ʃ p ɛ n d ə r	S P V N T V R
spendieren	ʃ p ɛ n d i r ə n	S P V N T V R V N
Spendierhosen	ʃ p ɛ n d i r h o z ə n	S P V N T V R H V S V N
Spendung	ʃ p ɛ n d ʊ ŋ	S P V N T V N
Spengler	ʃ p ɛ n g l ə r	S P V N K R V R
Sperber	ʃ p ɛ r b ə r	S P V R P V R
Sperberbaum	ʃ p ɛ r b ə r b au m	S P V R P V R P V M
Sperenzchen	ʃ p e r ɛ n ts x ə n	S P V R V N K K V N
Sperling	ʃ p ɛ r l ɪ ŋ	S P V R R V N
Sperma	ʃ p ɛ r m a	S P V R M V
Spermatogenese	ʃ p ɛ r m a t o g e n e z ə	S P V R M V T V K V N V S V
Spermatorrhöe	ʃ p ɛ r m a t o r ɶː	S P V R M V T V R V
Spermazet	ʃ p ɛ r m a ts e t	S P V R M V K V T
Spermiogenese	ʃ p ɛ r m i o g e n e z ə	S P V R M V V K V N V S V
Spermium	ʃ p ɛ r m i ʊ m	S P V R M V V M
sperren	ʃ p ɛ r ə n	S P V R V N
Sperrad	ʃ p ɛ r r a t	S P V R R V T
sperrangelweit	ʃ p ɛ r a ŋ ə l v ai t	S P V R V N V R W V T
Sperrballon	ʃ p ɛ r b a l ɔ ŋ	S P V R P V R V N
Sperrbatterie	ʃ p ɛ r b a t ə r i	S P V R P V T V R V
Sperrbaum	ʃ p ɛ r b au m	S P V R P V M
Sperre	ʃ p ɛ r ə	S P V R V
Sperrfeür	ʃ p ɛ r f χ ə r	S P V R P K V R
Sperrfrist	ʃ p ɛ r f r ɪ s t	S P V R P R V S T
Sperrgebiet	ʃ p ɛ r g ə b i t	S P V R K V P V T
Sperrholz	ʃ p ɛ r h ɔ l ts	S P V R H V R K
Sperrholzplatte	ʃ p ɛ r h ɔ l ts p l a t ə	S P V R H V R K P R V T V
Sperriegel	ʃ p ɛ r r i g ə l	S P V R R V K V R
sperrig	ʃ p ɛ r ɪ x	S P V R V K
Sperrkette	ʃ p ɛ r k ɛ t ə	S P V R K V T V
Sperrkonto	ʃ p ɛ r k ɔ n t o	S P V R K V N T V
Sperrkreis	ʃ p ɛ r k r ai s	S P V R K R V S
Sperrling	ʃ p ɛ r l ɪ ŋ	S P V R R V N
Sperrmaür	ʃ p ɛ r m au ə r	S P V R M V V R
Sperrstunde	ʃ p ɛ r ʃ t ʊ n d ə	S P V R S T V N T V
Sperrung	ʃ p ɛ r ʊ ŋ	S P V R V N
sperrweit	ʃ p ɛ r v ai t	S P V R W V T
Spesen	ʃ p e s ə n	S P V S V N
spesenfrei	ʃ p e z ə n f r ai	S P V S V N P R V
Spezerei	ʃ p e ts ə r ai	S P V K V R V
Spezi	ʃ p e ts i	S P V K V
spezial	ʃ p e ts i a l	S P V K V V R
Spezial	ʃ p e ts i a l	S P V K V V R
Spezialarzt	ʃ p e ts i a l a r ts t	S P V K V V R V R K T
Spezialausbildung	ʃ p e ts i a l au s b ɪ l d ʊ ŋ	S P V K V V R V S P V R T V N
Spezialfach	ʃ p e ts i a l f a x	S P V K V V R P V K
Spezialgebiet	ʃ p e ts i a l g ə b i t	S P V K V V R K V P V T
Spezialisation	ʃ p e ts i a l i z a ts i o n	S P V K V V R V S V K V V N
spezialisieren	ʃ p e ts i a l i z i r ə n	S P V K V V R V S V R V N
Spezialisierung	ʃ p e ts i a l i z i r ʊ ŋ	S P V K V V R V S V R V N
Spezialist	ʃ p e ts i a l ɪ s t	S P V K V V R V S T
Spezialistentum	ʃ p e ts i a l ɪ s t ə n t u m	S P V K V V R V S T V N T V M
Spezialität	ʃ p e ts i a l i t æ t	S P V K V V R V T V T
Spezialtraining	ʃ p e ts i a l t r æ n ɪ ŋ	S P V K V V R T R V N V N
speziell	ʃ p e ts i ɛ l	S P V K V V R
Spezies	ʃ p e ts i ɛ s	S P V K V V S
Spezifikation	ʃ p e ts i f i k a ts i o n	S P V K V P V K V K V V N
Spezifikationskauf	ʃ p e ts i f i k a ts i o n s k au f	S P V K V P V K V K V V N S K V P
Spezifikum	ʃ p e ts i f i k ʊ m	S P V K V P V K V M
spezifisch	ʃ p e ts i f ɪ ʃ	S P V K V P V S
Spezifität	ʃ p e ts i f i t æ t	S P V K V P V T V T
spezifizieren	ʃ p e ts i f i ts i r ə n	S P V K V P V K V R V N
Spezifizierung	ʃ p e ts i f i ts i r ʊ ŋ	S P V K V P V K V R V N
Spezimen	ʃ p e ts i m ə n	S P V K V M V N
Sphäre	s f æ r ə	S P V R V
Sphärenharmonie	s f æ r ə n h a r m o n i	S P V R V N H V R M V N V
Sphärenmusik	s f æ r ə n m u z i k	S P V R V N M V S V K
Sphäroid	s f ɛ r o i t	S P V R V V T
Sphärolith	s f ɛ r o l i t	S P V R V R V T
Sphärologie	s f ɛ r o l o g i	S P V R V R V K V
Sphärometer	s f ɛ r o m e t ə r	S P V R V M V T V R
Sphenoid	s f e n o i t	S P V N V V T
sphenoidal	s f e n o i d a l	S P V N V V T V R
Sphinkter	s f ɪ ŋ k t ə r	S P V N K T V R
Sphinx	s f ɪ ŋ k s	S P V N K S
spicken	ʃ p ɪ k ə n	S P V K V N
Spick	ʃ p ɪ k	S P V K
Spickaal	ʃ p ɪ k a l	S P V K V R
Spickgans	ʃ p ɪ k g a n s	S P V K K V N S
Spicknadel	ʃ p ɪ k n a d ə l	S P V K N V T V R
Spickzettel	ʃ p ɪ k ts ɛ t ə l	S P V K K V T V R
spiegeln	ʃ p i g ə l n	S P V K V R N
Spiegel	ʃ p i g ə l	S P V K V R
Spiegelbild	ʃ p i g ə l b ɪ l t	S P V K V R P V R T
spiegelbildlich	ʃ p i g ə l b ɪ l t l ɪ x	S P V K V R P V R T R V K
spiegelblank	ʃ p i g ə l b l a ŋ k	S P V K V R P R V N K
Spiegelei	ʃ p i g ə l ai	S P V K V R V
Spiegelfechter	ʃ p i g ə l f ɛ x t ə r	S P V K V R P V K T V R
Spiegelfechterei	ʃ p i g ə l f ɛ x t ə r ai	S P V K V R P V K T V R V
Spiegelglas	ʃ p i g ə l g l a s	S P V K V R K R V S
spiegelig	ʃ p i g ə l ɪ x	S P V K V R V K
Spiegelreflexkamera	ʃ p i g ə l r e f l ɛ k s k a m ə r a	S P V K V R R V P R V K S K V M V R V
Spiegelsaal	ʃ p i g ə l z a l	S P V K V R S V R
Spiegelschrift	ʃ p i g ə l ʃ r ɪ f t	S P V K V R S R V P T
Spiegelteleskop	ʃ p i g ə l t e l e s k o p	S P V K V R T V R V S K V P
Spiegelung	ʃ p i g ə l ʊ ŋ	S P V K V R V N
spiegelverkehrt	ʃ p i g ə l f ɛ r k e r t	S P V K V R P V R K V R T
Spieker	ʃ p i k ə r	S P V K V R
spielen	ʃ p i l ə n	S P V R V N
Spiel	ʃ p i l	S P V R
Spielalter	ʃ p i l a l t ə r	S P V R V R T V R
Spielart	ʃ p i l a r t	S P V R V R T
Spielautomat	ʃ p i l au t o m a t	S P V R V T V M V T
Spielball	ʃ p i l b a l	S P V R P V R
Spielbank	ʃ p i l b a ŋ k	S P V R P V N K
Spieldose	ʃ p i l d o z ə	S P V R T V S V
Spieler	ʃ p i l ə r	S P V R V R
Spielerei	ʃ p i l ə r ai	S P V R V R V
Spielerin	ʃ p i l ə r ɪ n	S P V R V R V N
spielerisch	ʃ p i l ə r ɪ ʃ	S P V R V R V S
Spielfeld	ʃ p i l f ɛ l t	S P V R P V R T
Spielfigur	ʃ p i l f i g u r	S P V R P V K V R
Spielfilm	ʃ p i l f ɪ l m	S P V R P V R M
Spielfolge	ʃ p i l f ɔ l g ə	S P V R P V R K V
spielfrei	ʃ p i l f r ai	S P V R P R V
Spielführer	ʃ p i l f y r ə r	S P V R P V R V R
Spielgefährte	ʃ p i l g ə f æ r t ə	S P V R K V P V R T V
Spielgeld	ʃ p i l g ɛ l t	S P V R K V R T
Spielhölle	ʃ p i l h œ l ə	S P V R H V R V
Spielhöschen	ʃ p i l h ɶː s x ə n	S P V R H V S K V N
Spielkamerad	ʃ p i l k a m ə r a t	S P V R K V M V R V T
Spielkarte	ʃ p i l k a r t ə	S P V R K V R T V
Spielkasino	ʃ p i l k a z i n o	S P V R K V S V N V
Spielklasse	ʃ p i l k l a s ə	S P V R K R V S V
Spielleidenschaft	ʃ p i l l ai d ə n ʃ a f t	S P V R R V T V N S V P T
Spielleiter	ʃ p i l l ai t ə r	S P V R R V T V R
Spielmann	ʃ p i l m a n	S P V R M V N
Spielmannsdichtung	ʃ p i l m a n s d ɪ x t ʊ ŋ	S P V R M V N S T V K T V N
Spielmarke	ʃ p i l m a r k ə	S P V R M V R K V
Spieloper	ʃ p i l o p ə r	S P V R V P V R
Spielplan	ʃ p i l p l a n	S P V R P R V N
Spielplatz	ʃ p i l p l a ts	S P V R P R V K
Spielratte	ʃ p i l r a t ə	S P V R R V T V
Spielraum	ʃ p i l r au m	S P V R R V M
Spielregel	ʃ p i l r e g ə l	S P V R R V K V R
Spielsaal	ʃ p i l z a l	S P V R S V R
Spielschuld	ʃ p i l ʃ ʊ l t	S P V R S V R T
Spielschule	ʃ p i l ʃ u l ə	S P V R S V R V
spielstark	ʃ p i l ʃ t a r k	S P V R S T V R K
Spielstärke	ʃ p i l ʃ t ɛ r k ə	S P V R S T V R K V
Spielstrasse	ʃ p i l ʃ t r a s ə	S P V R S T R V S V
Spielteufel	ʃ p i l t χ f ə l	S P V R T K P V R
Spieltisch	ʃ p i l t ɪ ʃ	S P V R T V S
Spielverderber	ʃ p i l f ɛ r d ɛ r b ə r	S P V R P V R T V R P V R
Spielvereinigung	ʃ p i l f ɛ r ai n ɪ g ʊ ŋ	S P V R P V R V N V K V N
Spielweise	ʃ p i l v ai z ə	S P V R W V S V
Spielwerk	ʃ p i l v ɛ r k	S P V R W V R K
Spielwiese	ʃ p i l v i z ə	S P V R W V S V
Spielzeit	ʃ p i l ts ai t	S P V R K V T
Spielzeug	ʃ p i l ts χ k	S P V R K K K
Spielzimmer	ʃ p i l ts ɪ m ə r	S P V R K V M V R
Spier	ʃ p i r	S P V R
Spiere	ʃ p i r ə	S P V R V
Spierling	ʃ p i r l ɪ ŋ	S P V R R V N
spiessen	ʃ p i s ə n	S P V S V N
Spiess	ʃ p i s	S P V S
Spiessbock	ʃ p i s b ɔ k	S P V S P V K
Spiessbürger	ʃ p i s b ʏ r g ə r	S P V S P V R K V R
spiessbürgerlich	ʃ p i s b ʏ r g ə r l ɪ x	S P V S P V R K V R R V K
Spiessbürgerlichkeit	ʃ p i s b ʏ r g ə r l ɪ x k ai t	S P V S P V R K V R R V K K V T
Spiessbürgertum	ʃ p i s b ʏ r g ə r t u m	S P V S P V R K V R T V M
Spiesser	ʃ p i s ə r	S P V S V R
spiesserhaft	ʃ p i s ə r h a f t	S P V S V R H V P T
spiesserisch	ʃ p i s ə r ɪ ʃ	S P V S V R V S
spiessförmig	ʃ p i s f œ r m ɪ x	S P V S P V R M V K
Spiessgeselle	ʃ p i s g ə z ɛ l ə	S P V S K V S V R V
Spiessglanz	ʃ p i s g l a n ts	S P V S K R V N K
spiessig	ʃ p i s ɪ x	S P V S V K
Spiessigkeit	ʃ p i s ɪ x k ai t	S P V S V K K V T
Spiessrute	ʃ p i s r u t ə	S P V S R V T V
Spike	ʃ p ai k	S P V K
Spill	ʃ p ɪ l	S P V R
Spillage	ʃ p ɪ l a ʒ ə	S P V R V S V
Spille	ʃ p ɪ l ə	S P V R V
Spin	s p ɪ n	S P V N
Spina	ʃ p i n a	S P V N V
spinal	ʃ p i n a l	S P V N V R
Spinat	ʃ p i n a t	S P V N V T
Spinatwachtel	ʃ p i n a t v a x t ə l	S P V N V T W V K T V R
Spind	ʃ p ɪ n t	S P V N T
Spindel	ʃ p ɪ n d ə l	S P V N T V R
Spindelbaum	ʃ p ɪ n d ə l b au m	S P V N T V R P V M
spindeldürr	ʃ p ɪ n d ə l d ʏ r	S P V N T V R T V R
Spindellager	ʃ p ɪ n d ə l l a g ə r	S P V N T V R R V K V R
Spinett	ʃ p i n ɛ t	S P V N V T
spinnen	ʃ p ɪ n ə n	S P V N V N
Spinnaker	ʃ p ɪ n a k ə r	S P V N V K V R
Spinndüse	ʃ p ɪ n d y z ə	S P V N T V S V
Spinne	ʃ p ɪ n ə	S P V N V
spinnefeind	ʃ p ɪ n ə f ai n t	S P V N V P V N T
Spinnengewebe	ʃ p ɪ n ə n g ə v e b ə	S P V N V N K V W V P V
Spinnenkrebs	ʃ p ɪ n ə n k r e p s	S P V N V N K R V P S
Spinnennetz	ʃ p ɪ n ə n n ɛ ts	S P V N V N N V K
Spinner	ʃ p ɪ n ə r	S P V N V R
Spinnerei	ʃ p ɪ n ə r ai	S P V N V R V
Spinnerin	ʃ p ɪ n ə r ɪ n	S P V N V R V N
Spinnerlied	ʃ p ɪ n ə r l i t	S P V N V R R V T
Spinnmaschine	ʃ p ɪ n m a ʃ i n ə	S P V N M V S V N V
Spinnrad	ʃ p ɪ n r a t	S P V N R V T
Spinnrocken	ʃ p ɪ n r ɔ k ə n	S P V N R V K V N
Spinnstoff	ʃ p ɪ n ʃ t ɔ f	S P V N S T V P
Spinnstube	ʃ p ɪ n ʃ t u b ə	S P V N S T V P V
spinös	ʃ p i n ɶː s	S P V N V S
spinozaisch	ʃ p i n o ts a ɪ ʃ	S P V N V K V V S
Spinozismus	ʃ p i n o ts ɪ s m ʊ s	S P V N V K V S M V S
Spinozist	ʃ p i n o ts ɪ s t	S P V N V K V S T
spinozistisch	ʃ p i n o ts ɪ s t ɪ ʃ	S P V N V K V S T V S
Spion	ʃ p i o n	S P V V N
Spionage	ʃ p i o n a ʒ ə	S P V V N V S V
Spionageabwehr	ʃ p i o n a ʒ ə a p v e r	S P V V N V S V V P W V R
spionieren	ʃ p i o n i r ə n	S P V V N V R V N
Spioniererei	ʃ p i o n i r ə r ai	S P V V N V R V R V
Spionin	ʃ p i o n ɪ n	S P V V N V N
spiral	ʃ p i r a l	S P V R V R
Spiralbohrer	ʃ p i r a l b o r ə r	S P V R V R P V R V R
Spirale	ʃ p i r a l ə	S P V R V R V
Spiralfeder	ʃ p i r a l f e d ə r	S P V R V R P V T V R
spiralförmig	ʃ p i r a l f œ r m ɪ x	S P V R V R P V R M V K
spiralig	ʃ p i r a l ɪ x	S P V R V R V K
Spirallinie	ʃ p i r a l l i n i ə	S P V R V R R V N V V
Spiralnebel	ʃ p i r a l n e b ə l	S P V R V R N V P V R
Spirans	ʃ p i r a n s	S P V R V N S
Spirant	ʃ p i r a n t	S P V R V N T
spirantisch	ʃ p i r a n t ɪ ʃ	S P V R V N T V S
Spirille	ʃ p i r ɪ l ə	S P V R V R V
Spirit	ʃ p ɪ r ɪ t	S P V R V T
Spiritismus	ʃ p i r i t ɪ s m ʊ s	S P V R V T V S M V S
Spiritist	ʃ p ɪ r ɪ t ɪ s t	S P V R V T V S T
spiritistisch	ʃ p i r i t ɪ s t ɪ ʃ	S P V R V T V S T V S
spiritual	ʃ p i r i t u a l	S P V R V T V V R
Spiritual	ʃ p i r i t u a l	S P V R V T V V R
spiritualisieren	ʃ p i r i t u a l i z i r ə n	S P V R V T V V R V S V R V N
Spiritualismus	ʃ p i r i t u a l ɪ s m ʊ s	S P V R V T V V R V S M V S
Spiritualist	ʃ p i r i t u a l i s t	S P V R V T V V R V S T
Spiritualität	ʃ p i r i t u a l i t æ t	S P V R V T V V R V T V T
spiritüll	ʃ p i r i t u ɛ l	S P V R V T V V R
spirituös	ʃ p i r i t u ɶː s	S P V R V T V V S
spirituos	ʃ p i r i t u o s	S P V R V T V V S
Spiritus	s p i r i t ʊ s	S P V R V T V S
Spirituskocher	s p i r i t ʊ s k ɔ x ə r	S P V R V T V S K V K V R
Spirochäte	ʃ p i r o x æ t ə	S P V R V K V T V
Spirometer	ʃ p i r o m e t ə r	S P V R V M V T V R
Spirre	ʃ p ɪ r ə	S P V R V
Spital	ʃ p i t a l	S P V T V R
spitzen	ʃ p ɪ ts ə n	S P V K V N
spitz	ʃ p ɪ ts	S P V K
Spitz	ʃ p ɪ ts	S P V K
Spitzbart	ʃ p ɪ ts b a r t	S P V K P V R T
spitzbärtig	ʃ p ɪ ts b æ r t ɪ x	S P V K P V R T V K
spitzbekommen	ʃ p ɪ ts b ə k ɔ m ə n	S P V K P V K V M V N
Spitzbogen	ʃ p ɪ ts b o g ə n	S P V K P V K V N
spitzbogig	ʃ p ɪ ts b o g ɪ x	S P V K P V K V K
Spitzbohrer	ʃ p ɪ ts b o r ə r	S P V K P V R V R
Spitzbube	ʃ p ɪ ts b u b ə	S P V K P V P V
Spitzbüberei	ʃ p ɪ ts b y b ə r ai	S P V K P V P V R V
Spitzbübin	ʃ p ɪ ts b y b ɪ n	S P V K P V P V N
Spitze	ʃ p ɪ ts ə	S P V K V
spitzeln	ʃ p ɪ ts ə l n	S P V K V R N
Spitzel	ʃ p ɪ ts ə l	S P V K V R
Spitzenfilm	ʃ p ɪ ts ə n f ɪ l m	S P V K V N P V R M
Spitzengarnitur	ʃ p ɪ ts ə n g a r n i t u r	S P V K V N K V R N V T V R
Spitzengeschwindigkeit	ʃ p ɪ ts ə n g ə ʃ v ɪ n d ɪ x k ai t	S P V K V N K V S W V N T V K K V T
Spitzenklasse	ʃ p ɪ ts ə n k l a s ə	S P V K V N K R V S V
Spitzenklöppelei	ʃ p ɪ ts ə n k l œ p ə l ai	S P V K V N K R V P V R V
Spitzenleistung	ʃ p ɪ ts ə n l ai s t ʊ ŋ	S P V K V N R V S T V N
Spitzenorganisation	ʃ p ɪ ts ə n ɔ r g a n i z a ts i o n	S P V K V N V R K V N V S V K V V N
Spitzenposition	ʃ p ɪ ts ə n p o z i ts i o n	S P V K V N P V S V K V V N
Spitzenreiter	ʃ p ɪ ts ə n r ai t ə r	S P V K V N R V T V R
Spitzensportler	ʃ p ɪ ts ə n ʃ p ɔ r t l ə r	S P V K V N S P V R T R V R
spitzfindig	ʃ p ɪ ts f ɪ n d ɪ x	S P V K P V N T V K
Spitzfindigkeit	ʃ p ɪ ts f ɪ n d ɪ x k ai t	S P V K P V N T V K K V T
Spitzhacke	ʃ p ɪ ts h a k ə	S P V K H V K V
Spitzkehre	ʃ p ɪ ts k e r ə	S P V K K V R V
spitzkriegen	ʃ p ɪ ts k r i g ə n	S P V K K R V K V N
Spitzmaus	ʃ p ɪ ts m au s	S P V K M V S
Spitzname	ʃ p ɪ ts n a m ə	S P V K N V M V
spitzohrig	ʃ p ɪ ts o r ɪ x	S P V K V R V K
spitzwinkelig	ʃ p ɪ ts v ɪ ŋ k ə l ɪ x	S P V K W V N K V R V K
spitzwinklig	ʃ p ɪ ts v ɪ ŋ k l ɪ x	S P V K W V N K R V K
Spleen	ʃ p l i n	S P R V N
spleenig	ʃ p l i n ɪ x	S P R V N V K
spleissen	ʃ p l ai s ə n	S P R V S V N
Splen	s p l e n	S P R V N
splendid	ʃ p l ɛ n d i t	S P R V N T V T
Splendidität	ʃ p l ɛ n d i d i t æ t	S P R V N T V T V T V T
Spliess	ʃ p l i s	S P R V S
Splint	ʃ p l ɪ n t	S P R V N T
Splintholz	ʃ p l ɪ n t h ɔ l ts	S P R V N T H V R K
splitten	ʃ p l ɪ t ə n	S P R V T V N
Splitt	ʃ p l ɪ t	S P R V T
splittern	ʃ p l ɪ t ə r n	S P R V T V R N
Splitter	ʃ p l ɪ t ə r	S P R V T V R
